NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
1106,부산광역시 영도구 봉래동3가,149,0149,0000,-149,38.76,202408,27,"6,500",10,개인,개인,2003,대교로2번길 26,-,직거래,-
1107,서울특별시 영등포구 영등포동2가,321-2,0321,0002,더리버캐슬,50.16,202408,27,"38,000",5,개인,개인,2017, ,-,중개거래,서울 영등포구
1108,서울특별시 영등포구 여의도동,17,0017,0000,여의도 the? 아일랜드 파크,84.72,202408,27,"135,000",12,개인,개인,2006,의사당대로 38,-,중개거래,서울 영등포구
1109,강원특별자치도 평창군 봉평면 무이리,1093-3,1093,0003,평창 오피스텔,39.6,202408,27,"2,600",4,개인,개인,2004,안흥동길 98,-,직거래,-
1110,경기도 화성시 반송동,Feb.92,0092,0002,마젤란오피스텔,29.09,202408,27,"14,100",6,개인,개인,2010,노작로 177,-,직거래,-
1111,서울특별시 송파구 방이동,43,0043,0000,대명벨리온,17.12,202408,27,"18,300",16,법인,개인,2017, ,-,중개거래,서울 송파구
1112,전라남도 목포시 상동,823-7,0823,0007,21세기하이트오피스텔,20.352,202408,27,900,7,개인,개인,2003,교육로 91,-,중개거래,전남 목포시
1113,충청남도 아산시 배방읍 장재리,1719,1719,0000,코아루웰메이드시티,31.71,202408,27,"14,000",12,개인,개인,2020,희망로 32,-,중개거래,"충남 아산시, 충남 천안시 서북구"
1114,서울특별시 관악구 봉천동,869-6,0869,0006,서울대역 마에스트로,18.62,202408,27,"14,500",11,개인,개인,2012,남부순환로218길 1,-,중개거래,서울 관악구
1115,서울특별시 서초구 서초동,1601-10,1601,0010,서초어반하이 오피스텔,19.3,202408,27,"21,700",9,개인,개인,2018,서초중앙로5길 10-7,-,중개거래,서울 서초구
1116,서울특별시 서초구 서초동,1337-14,1337,0014,이즈타워,40.57,202408,27,"28,500",4,개인,개인,2006,사임당로 178,-,중개거래,서울 서초구
1117,서울특별시 서초구 서초동,1319-11,1319,0011,두산베어스텔,42,202408,27,"36,500",16,개인,개인,1999,강남대로 381,-,중개거래,서울 서초구
1118,충청북도 청주시 흥덕구 복대동,288-62,0288,0062,대농지구 롯데캐슬시티,44.96,202408,27,"20,000",12,개인,개인,2017,진재로 141,-,직거래,-
1119,서울특별시 중구 을지로5가,Feb.77,0077,0002,대성을지로오피스텔,28.04,202408,27,"15,000",8,개인,개인,2005,을지로 228,-,중개거래,서울 중구
1120,서울특별시 송파구 가락동,May.79,0079,0005,(79-5),66.16,202408,27,"23,000",5,법인,법인,1994,송파대로28길 24,-,중개거래,서울 송파구
1121,대전광역시 유성구 봉명동,612-2,0612,0002,봉명 정한 드리미아,26.5358,202408,27,"5,100",3,개인,개인,2012,문화원로 80,-,중개거래,대전 유성구
