NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
19658,경기도 의왕시 학의동,1150,1150,0,의왕백운 해링턴 플레이스 1단지,84.9923,202408,22,"83,000",-,7,개인,개인,2019,백운중앙로 46,-,중개거래,경기 의왕시,-
19659,경기도 평택시 청북읍 옥길리,1110,1110,0,부영사랑으로1단지,59.9605,202408,22,"16,300",105,3,개인,개인,2011,12,-,직거래,-,2024.8.30
19660,경기도 시흥시 정왕동,1873-3,1873,3,월드,47.455,202408,22,"17,500",-,1,개인,개인,1995,옥구천동로 404,-,중개거래,경기 시흥시,-
19661,경기도 용인시 수지구 동천동,923,923,0,래미안이스트팰리스4단지,129.7,202408,22,"115,000",-,6,개인,개인,2010,동천로153번길 6,-,중개거래,경기 용인시 수지구,-
19662,경기도 수원시 장안구 천천동,565,565,0,삼호진덕,59.73,202408,22,"32,500",-,6,개인,개인,1998,하률로46번길 22,-,중개거래,경기 수원시 장안구,-
19663,경기도 수원시 장안구 천천동,563,563,0,신안한일,101.83,202408,22,"59,700",-,6,개인,개인,1997,하률로30번길 22,-,중개거래,경기 수원시 장안구,-
19664,경기도 성남시 수정구 단대동,124,124,0,진로,59.97,202408,22,"54,000",-,11,개인,개인,1998,단대로23번길 32,-,중개거래,경기 성남시 수정구,-
19665,경기도 성남시 수정구 단대동,6,6,0,선경논골,34.05,202408,22,"26,600",-,6,개인,개인,1991,논골로 87,-,중개거래,경기 성남시 수정구,-
19666,경기도 안양시 만안구 안양동,815-13,815,13,미래엠피아,41.1,202408,22,"22,250",-,18,개인,개인,2003,만안로 272,-,중개거래,경기 안양시 만안구,-
19667,경기도 의정부시 녹양동,146-15,146,15,청구,59.9,202408,22,"17,500",-,9,개인,개인,1994,녹양로 71-7,-,중개거래,경기 의정부시,-
19668,세종특별자치시  보람동,779,779,0,호려울마을6단지(모아엘가),84.8457,202408,22,"63,000",-,8,개인,개인,2017,보람동로 13,-,중개거래,세종,-
19669,세종특별자치시  보람동,783,783,0,호려울마을5단지(제일풍경채),99.986,202408,22,"80,000",-,12,개인,개인,2017,남세종로 441,-,중개거래,세종,-
19670,경기도 의정부시 녹양동,355,355,0,녹양힐스테이트,79.73,202408,22,"37,900",-,14,개인,개인,2006,녹양로62번길 12,-,중개거래,경기 의정부시,-
19671,경기도 오산시 갈곶동,715,715,0,대주피오레,123.3203,202408,22,"36,000",-,6,개인,개인,2010,경기대로 52-21,-,중개거래,경기 오산시,-
19672,경기도 양주시 만송동,697,697,0,은빛마을유승한내들,59.9805,202408,22,"26,200",-,14,개인,개인,2009,고읍북로 28-8,-,중개거래,경기 양주시,-
19673,세종특별자치시  보람동,774,774,0,호려울마을9단지(한양수자인와이즈시티),84.8974,202408,22,"46,000",-,1,개인,개인,2016,남세종로 384,-,중개거래,세종,-
19674,경기도 고양시 덕양구 행신동,934,934,0,햇빛마을주공20,59.93,202408,22,"32,500",-,15,개인,개인,1997,충장로152번길 39,-,중개거래,경기 고양시 덕양구,-
19675,경기도 용인시 수지구 신봉동,905,905,0,우남퍼스트빌,59.9524,202408,22,"66,000",-,11,개인,개인,2004,신봉1로 27,-,중개거래,경기 용인시 수지구,-
19676,경기도 김포시 운양동,1300-3,1300,3,김포한강신도시반도유보라2차,59.1119,202408,22,"46,000",-,7,개인,개인,2013,김포한강11로 276,-,중개거래,경기 김포시,-
19677,경기도 고양시 일산서구 대화동,2215,2215,0,성저마을(풍림),45.36,202408,22,"22,000",303,15,개인,개인,1996,강성로 270,-,직거래,-,2024.8.27
19678,경기도 수원시 영통구 영통동,973-3,973,3,벽적골두산,59.84,202408,22,"45,000",-,11,개인,개인,1997,영통로 232,-,중개거래,경기 수원시 영통구,-
19679,경기도 안산시 상록구 사동,1510,1510,0,안산고잔7차푸르지오,100.189,202408,22,"59,000",-,14,개인,개인,2005,해양1로 30,-,중개거래,경기 안산시 상록구,-
19680,경기도 수원시 영통구 영통동,972-2,972,2,벽적골주공휴먼시아8단지,49.59,202408,22,"37,950",-,14,개인,개인,1997,영통로290번길 26,-,중개거래,경기 수원시 영통구,-
19681,경기도 수원시 영통구 영통동,964-5,964,5,신나무실휴먼시아5단지,59.99,202408,22,"39,300",-,16,개인,개인,1997,영통로290번길 25,-,중개거래,경기 수원시 영통구,-
19682,경기도 화성시 정남면 발산리,490-12,490,12,동남훼미리,39.95,202408,22,"9,400",-,10,개인,개인,2000,만년로 470,-,중개거래,경기 화성시,-
19683,경기도 수원시 영통구 영통동,971-1,971,1,벽적골롯데,59.96,202408,22,"49,900",-,19,개인,개인,2002,덕영대로1555번길 20,-,중개거래,경기 수원시 영통구,-
19684,경기도 성남시 분당구 판교동,635,635,0,판교원마을6단지(판교대광로제비앙),83.33,202408,22,"135,000",-,8,개인,개인,2009,판교원로 209,-,중개거래,경기 성남시 분당구,-
