NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원)
4906,서울특별시 강서구 등촌동,628-18,0628,0018,트라비하우스,전세,50.16,202408,29,"26,000",0,8,2005,화곡로68길 47,202409~202609,갱신,-,"23,100",0
4907,서울특별시 강서구 등촌동,639-6,0639,0006,더 퍼스트 가양,월세,28.14,202408,29,"29,000",10,5,2023,화곡로68길 24,202410~202610,신규,-,,
4908,서울특별시 강서구 등촌동,656-52,0656,0052,강서메트로칸,월세,17.31,202408,29,"2,000",45,14,2013,공항대로45가길 11,202408~202508,신규,-,,
4909,서울특별시 송파구 문정동,639-5,0639,0005,힐스테이트에코송파,월세,21.06,202408,29,"5,000",70,15,2017,정의로7길 13,202409~202509,갱신,사용,"5,000",65
4910,경기도 고양시 덕양구 동산동,367,0367,0000,아이엠 삼송,월세,44.34,202408,29,"8,000",78,18,2020,동송로 23-50,202411~202511,갱신,-,"8,000",77
4911,경기도 고양시 덕양구 동산동,367,0367,0000,아이엠 삼송,월세,40.38,202408,29,"20,000",50,17,2020,동송로 23-50,202411~202511,갱신,-,"20,000",47
4912,경기도 고양시 덕양구 동산동,367,0367,0000,아이엠 삼송,월세,72.96,202408,29,"48,000",21,24,2020,동송로 23-50,202411~202511,갱신,-,"41,000",53
4913,인천광역시 남동구 논현동,642-2,0642,0002,논현 동원베네스트 타워,전세,81.69,202408,29,"19,000",0,16,2011,논현로46번길 39,202410~202610,신규,-,,
4914,인천광역시 중구 중산동,1873-21,1873,0021,광영스너그에어시티,전세,32.74,202408,29,"11,150",0,14,2023,영종대로 875,202408~202508,갱신,-,"12,000",0
4915,부산광역시 부산진구 양정동,312-22,0312,0022,편안세상,전세,26.17,202408,29,"8,500",0,9,2017,거제천로 6-1,202410~202610,신규,-,,
