,NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,매수,매도,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
118,119,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.57,202409,9,"15,510",19,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
119,120,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.96,202409,9,"15,510",19,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
120,121,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.96,202409,9,"15,510",19,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
121,122,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"15,510",19,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
122,123,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"15,510",19,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
123,124,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.26,202409,9,"15,510",18,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
124,125,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"15,510",18,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
125,126,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.57,202409,9,"15,510",18,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
126,127,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.96,202409,9,"15,510",18,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
127,128,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.96,202409,9,"15,510",18,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
128,129,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"15,510",18,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
129,130,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"15,510",18,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
130,131,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.26,202409,9,"15,310",17,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
131,132,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"15,310",17,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
132,133,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.57,202409,9,"15,310",17,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
133,134,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.96,202409,9,"15,310",17,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
134,135,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.96,202409,9,"15,310",17,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
135,136,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"15,310",17,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
136,137,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.74,202409,9,"15,310",17,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
137,138,부산광역시 부산진구 양정동,388-8,388,8,KM럭채움,29.26,202409,9,"15,310",16,법인,법인,2023.0,거제대로60번길 20,-,직거래,-
138,139,경기도 광명시 철산동,473-14,473,14,철산동 오피스텔,25.94,202409,9,"9,500",14,개인,개인,2003.0,오리로 887,-,중개거래,경기 광명시
139,140,울산광역시 남구 신정동,580-1,580,1,신정 센텀메르빌,67.3908,202409,9,"15,944",16,개인,법인,2018.0,돋질로81번길 13,-,직거래,-
140,141,경기도 광명시 일직동,509-2,509,2,광명트리플타워오피스텔,31.9699,202409,9,"19,800",13,개인,개인,2018.0,일직로 28,-,중개거래,경기 광명시
141,142,경기도 성남시 중원구 성남동,2488,2488,0,동나탑클래스,82.98,202409,9,"45,300",9,개인,개인,2019.0,광명로100번길 3,-,중개거래,경기 성남시 중원구
142,143,경기도 안산시 단원구 고잔동,527-2,527,2,센터하임오피스텔,18.86,202409,9,"7,900",12,개인,개인,2018.0,고잔로 57-11,-,직거래,-
143,144,경기도 안산시 단원구 고잔동,527-3,527,3,아이즈빌Ⅱ 오피스텔,29.64,202409,9,"6,000",6,개인,개인,2004.0,고잔로 57-9,-,중개거래,경기 안산시 상록구
